,Unnamed: 0,Unnamed: 0.1,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessCourses,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
10,10,10,Male,United States,24.0,Employed full-time,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,TensorFlow,Genetic & Evolutionary Algorithms,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Kaggle,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",Somewhat useful,No Free Hunch Blog,< 1 year,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,Basic laptop (Macbook),11 - 39 hours,Github Portfolio,No,Bachelor's degree,Biology,Less than a year,,Self-taught,50.0,50.0,0.0,0.0,0.0,0.0,Supervised Machine Learning (Tabular Data),"Decision Trees - Random Forests,Ensemble Methods,Logistic Regression",No education,Pharmaceutical,Searching general-purpose job board,6-10,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important
11,11,11,Female,United States,29.0,Employed full-time,No,Yes,DBA/Database Engineer,Fine,Employed by non-profit or NGO,R,Association Rules,Python,"GitHub,Google Search,Government website,Other","Blogs,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Other,Other",Very useful,"Becoming a Data Scientist Podcast,Partially Derivative Podcast,The Data Skeptic Podcast",3-5 years,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Basic laptop (Macbook),2 - 10 hours,Github Portfolio,No,Bachelor's degree,A humanities discipline,Less than a year,Other,"Online courses (coursera, udemy, edx, etc.)",0.0,25.0,15.0,0.0,0.0,60.0,,Decision Trees - Random Forests,A bachelor's degree,Non-profit,Tech-specific job board,,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Not important,Not important,Not important,Somewhat important,Not important,Not important,Not important
12,12,12,Female,United States,18.0,Employed part-time,No,Yes,Other,Perfectly,Employed by company that makes advanced analytic software,Microsoft SQL Server Data Mining,Time Series Analysis,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"College/University,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,Textbook",Very useful,KDnuggets Blog,< 1 year,Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Gaming Laptop (Laptop + CUDA capable GPU),2 - 10 hours,Github Portfolio,No,Bachelor's degree,Mathematics or statistics,Less than a year,,University courses,10.0,50.0,0.0,10.0,30.0,0.0,Supervised Machine Learning (Tabular Data),"Logistic Regression,Support Vector Machines (SVMs)",A doctoral degree,CRM/Marketing,Company's Web site/job listing page,1-2,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
13,13,13,Male,United States,41.0,Employed full-time,No,Yes,Other,Fine,Employed by government,TensorFlow,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website,University/Non-profit research group websites","Blogs,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Very useful,Siraj Raval YouTube Channel,< 1 year,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,Unnecessary,Nice to have,"Basic laptop (Macbook),Traditional Workstation",2 - 10 hours,Kaggle Competitions,No,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,Other,Self-taught,10.0,90.0,0.0,0.0,0.0,0.0,,,"Some college/university study, no bachelor's degree",Government,"Asking friends, family members, or former colleagues for leads",1-2,Very Important,Very Important,Not important,Not important,Somewhat important,Very Important,Very Important,Not important,Somewhat important,Not important,Very Important,Not important,Somewhat important,Not important,Very Important,Not important
14,14,14,Male,United States,53.0,"Independent contractor, freelancer, or self-employed",No,Yes,Other,Perfectly,Self-employed,Python,Regression,Python,Government website,"Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,Other (Separate different answers with semicolon),1-2 years,Necessary,Nice to have,Nice to have,,Necessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Laptop or Workstation and local IT supported servers,11 - 39 hours,Github Portfolio,Sort of (Explain more),Bachelor's degree,A social science,1 to 2 years,Other,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),High school,Other,Other,0,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Very Important,Very Important,Very Important,Not important,Not important,Somewhat important,Somewhat important,Not important,Not important,Not important
15,15,15,Male,United States,23.0,Employed part-time,No,Yes,Software Developer/Software Engineer,Fine,,TensorFlow,Genetic & Evolutionary Algorithms,Python,University/Non-profit research group websites,"Arxiv,Blogs,College/University,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Very useful,"Data Elixir Newsletter,O'Reilly Data Newsletter,Siraj Raval YouTube Channel",1-2 years,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,"Laptop + Cloud service (AWS, Azure, GCE ...)",0 - 1 hour,PhD,Sort of (Explain more),Master's degree,Computer Science,Less than a year,"Computer Scientist,Programmer","Online courses (coursera, udemy, edx, etc.)",33.0,30.0,0.0,35.0,2.0,,"Adversarial Learning,Computer Vision,Natural Language Processing,Speech Recognition","Decision Trees - Gradient Boosted Machines,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",A bachelor's degree,Internet-based,Searching general-purpose job board,20+,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Very Important,Very Important,Not important,Somewhat important,Not important,Not important,Somewhat important,Not important,Very Important
16,16,16,Male,United States,42.0,Employed full-time,No,Yes,Business Analyst,Poorly,Employed by a company that performs advanced analytics,Amazon Machine Learning,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),I collect my own data (e.g. web-scraping)",YouTube Videos,,Linear Digressions Podcast,< 1 year,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Unnecessary,Unnecessary,Nice to have,Gaming Laptop (Laptop + CUDA capable GPU),,Master's degree,No,Master's degree,Management information systems,Less than a year,"Business Analyst,Data Analyst,Machine Learning Engineer",Self-taught,90.0,10.0,0.0,0.0,0.0,0.0,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data)",Bayesian Techniques,,Insurance,Company's Web site/job listing page,,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Somewhat important
17,17,17,Male,United States,24.0,Employed part-time,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Amazon Web services,Deep learning,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,I collect my own data (e.g. web-scraping)","College/University,Kaggle,Newsletters,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",Somewhat useful,"KDnuggets Blog,R Bloggers Blog Aggregator",3-5 years,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Necessary,"Laptop + Cloud service (AWS, Azure, GCE ...)",11 - 39 hours,PhD,No,Bachelor's degree,Computer Science,3 to 5 years,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",30.0,40.0,0.0,20.0,10.0,0.0,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",A master's degree,Manufacturing,"Asking friends, family members, or former colleagues for leads",6-10,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Not important,Not important,Somewhat important,Not important
18,18,18,Male,United States,36.0,Employed full-time,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,TensorFlow,Neural Nets,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,University/Non-profit research group websites","Blogs,College/University,Kaggle,Online courses,Personal Projects,Textbook,Trade book",Somewhat useful,"KDnuggets Blog,O'Reilly Data Newsletter,R Bloggers Blog Aggregator",3-5 years,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Nice to have,Basic laptop (Macbook),2 - 10 hours,Master's degree,Yes,Master's degree,Computer Science,3 to 5 years,"Business Analyst,Engineer,Software Developer/Software Engineer",University courses,15.0,80.0,0.0,0.0,5.0,0.0,"Supervised Machine Learning (Tabular Data),Time Series","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression",A master's degree,Technology,"Asking friends, family members, or former colleagues for leads",3-5,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Not important,Somewhat important,Somewhat important,Very Important,Very Important
19,19,19,Male,United States,23.0,Employed part-time,No,Yes,Researcher,Fine,Employed by a company that doesn't perform advanced analytics,Python,"Ensemble Methods (e.g. boosting, bagging)",SQL,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,University/Non-profit research group websites",YouTube Videos,,Partially Derivative Podcast,< 1 year,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,Basic laptop (Macbook),2 - 10 hours,Online Courses and Certifications,No,Bachelor's degree,A social science,Less than a year,Researcher,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0,Time Series,,"Some college/university study, no bachelor's degree",Technology,Searching general-purpose job board,1-2,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Not important,Very Important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
20,20,20,Male,United States,42.0,"Independent contractor, freelancer, or self-employed",No,Yes,Programmer,Fine,Self-employed,Google Cloud Compute,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website,I collect my own data (e.g. web-scraping)","Conferences,Friends network,Online courses,YouTube Videos",Somewhat useful,,1-2 years,Nice to have,Unnecessary,Necessary,Unnecessary,Necessary,Unnecessary,Nice to have,Unnecessary,Nice to have,Necessary,Gaming Laptop (Laptop + CUDA capable GPU),0 - 1 hour,Experience from work in a company related to ML,Yes,Bachelor's degree,A humanities discipline,1 to 2 years,Programmer,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",A bachelor's degree,Mix of fields,Searching general-purpose job board,0,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important
21,21,21,Male,United States,19.0,Employed full-time,No,Yes,,,,Python,Regression,C/C++/C#,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,University/Non-profit research group websites","College/University,Kaggle,Newsletters,Stack Overflow Q&A,Textbook",,,1-2 years,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Gaming Laptop (Laptop + CUDA capable GPU),2 - 10 hours,Other,Sort of (Explain more),Some college/university study without earning a bachelor's degree,Other,1 to 2 years,I haven't started working yet,University courses,15.0,0.0,0.0,80.0,0.0,5.0,,,High school,Manufacturing,,,,,,,,,,,,,,,,,,
22,22,22,Male,United States,25.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,TensorFlow,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,University/Non-profit research group websites","Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,,< 1 year,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Nice to have,Nice to have,Gaming Laptop (Laptop + CUDA capable GPU),0 - 1 hour,Online Courses and Certifications,No,Master's degree,Electrical Engineering,Less than a year,"Engineer,Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,,,A master's degree,Telecommunications,Tech-specific job board,0,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not important,Not important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important
23,23,23,Female,United States,51.0,Employed full-time,No,Yes,DBA/Database Engineer,Fine,Employed by professional services/consulting firm,Python,Social Network Analysis,SQL,Google Search,"College/University,Personal Projects",,,1-2 years,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,"Laptop + Cloud service (AWS, Azure, GCE ...),Workstation + Cloud service",2 - 10 hours,Online Courses and Certifications,Yes,Master's degree,Computer Science,More than 10 years,"Data Analyst,DBA/Database Engineer,Programmer,Software Developer/Software Engineer",University courses,60.0,0.0,0.0,40.0,0.0,0.0,Supervised Machine Learning (Tabular Data),Bayesian Techniques,High school,Technology,Tech-specific job board,3-5,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Not important,Not important
24,24,24,Female,United States,31.0,Employed full-time,No,Yes,Data Analyst,Fine,Employed by non-profit or NGO,SAS Base,Text Mining,SQL,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website,University/Non-profit research group websites,Other","Kaggle,Online courses,Textbook,YouTube Videos",Somewhat useful,R Bloggers Blog Aggregator,1-2 years,,Nice to have,Necessary,Necessary,,Necessary,Necessary,Nice to have,Nice to have,Necessary,Laptop or Workstation and local IT supported servers,2 - 10 hours,Experience from work in a company related to ML,No,Master's degree,Biology,1 to 2 years,"Data Analyst,Other",University courses,0.0,75.0,0.0,25.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),High school,Non-profit,Company's Web site/job listing page,1-2,Very Important,Very Important,Not important,Somewhat important,Not important,Somewhat important,Very Important,Somewhat important,Not important,Not important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important
25,25,25,Male,United States,69.0,Employed full-time,No,Yes,Other,Poorly,Employed by professional services/consulting firm,TensorFlow,Deep learning,Python,University/Non-profit research group websites,"Online courses,Personal Projects,YouTube Videos",Very useful,,3-5 years,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,,Necessary,Basic laptop (Macbook),11 - 39 hours,Experience from work in a company related to ML,Yes,Master's degree,Engineering (non-computer focused),6 to 10 years,"Data Analyst,DBA/Database Engineer,Software Developer/Software Engineer",University courses,0.0,5.0,5.0,90.0,0.0,0.0,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)","Some college/university study, no bachelor's degree",Mix of fields,,6-10,Very Important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Not important,Not important
